Date,Resting HR,Sleep Score,Stress,Body Battery High,Body Battery Low,Weight
2024-01-05,45,88,26,86,15,
2024-01-06,48,92,27,83,31,
2024-01-07,47,85,37,90,7,
2024-01-08,51,81,32,50,7,
2024-01-09,46,84,29,87,17,
2024-01-10,45,86,23,96,27,
2024-01-11,45,86,22,100,27,
2024-01-12,44,86,21,99,32,
2024-01-13,45,82,27,78,29,
2024-01-14,42,92,24,100,30,
2024-01-15,46,72,26,71,30,
2024-01-16,47,74,26,78,17,
2024-01-17,43,89,28,100,18,51.299
2024-01-18,44,91,30,100,16,
2024-01-19,48,84,23,81,20,
2024-01-20,45,91,21,100,32,
2024-01-21,47,84,24,71,35,
2024-01-22,43,83,24,100,21,
2024-01-23,49,80,30,80,18,
2024-01-24,45,93,26,93,22,
2024-01-25,47,89,22,94,32,
2024-01-26,44,63,21,100,36,
2024-01-27,45,91,20,100,34,
2024-01-28,42,90,27,100,18,
2024-01-29,45,66,26,55,16,
2024-01-30,42,83,28,96,15,51.0
2024-01-31,44,79,32,92,15,
2024-02-01,48,81,28,68,22,
2024-02-02,45,80,20,82,42,
2024-02-03,44,90,27,100,13,
2024-02-04,44,87,26,88,17,
2024-02-05,46,64,28,56,23,
2024-02-06,45,84,24,100,25,
2024-02-07,46,92,30,92,12,
2024-02-08,45,85,30,88,18,
2024-02-09,46,86,35,86,10,
2024-02-10,48,87,29,74,12,
2024-02-11,46,84,35,88,8,
2024-02-12,50,40,33,37,8,
2024-02-13,49,87,32,71,19,
2024-02-14,51,50,48,47,5,
2024-02-15,51,51,30,36,12,
2024-02-16,48,87,26,87,16,
2024-02-17,45,70,29,71,19,
2024-02-18,47,72,38,85,5,
2024-02-19,49,44,39,28,5,
2024-02-20,45,90,26,91,12,
2024-02-21,48,81,23,88,23,
2024-02-22,46,89,24,97,27,
2024-02-23,46,86,24,87,29,
2024-02-24,46,82,31,83,15,
2024-02-25,45,73,23,67,20,
2024-02-26,46,88,30,92,19,
2024-02-27,44,93,26,91,19,
2024-02-28,46,79,26,85,22,51.8
2024-02-29,48,89,41,83,7,
2024-03-01,47,82,28,71,7,
2024-03-02,46,78,34,84,7,
2024-03-03,48,78,35,57,5,
2024-03-04,50,79,29,43,6,
2024-03-05,48,74,34,62,10,
2024-03-06,46,92,25,86,18,
2024-03-07,48,86,35,86,9,
2024-03-08,50,80,31,62,11,
2024-03-09,51,67,38,49,5,
2024-03-10,49,80,36,61,5,
2024-03-11,51,73,34,53,7,
2024-03-12,51,78,30,64,13,
2024-03-13,51,74,32,69,7,
2024-03-14,48,86,21,78,18,
2024-03-15,49,88,29,87,20,
2024-03-16,50,78,28,65,20,
2024-03-17,47,88,31,87,14,
2024-03-18,49,82,28,72,18,52.0
2024-03-19,48,80,22,68,28,
2024-03-20,47,84,21,96,30,52.5
2024-03-21,46,92,26,95,23,51.9
2024-03-22,47,82,26,83,22,
2024-03-23,46,81,23,83,29,
2024-03-24,47,86,30,90,17,
2024-03-25,49,82,30,72,15,
2024-03-26,46,81,19,87,19,
2024-03-27,47,85,28,93,22,
2024-03-28,48,88,39,85,8,51.5
2024-03-29,47,82,24,69,13,
2024-03-30,49,81,32,83,7,
2024-03-31,49,84,25,66,12,
2024-04-01,50,82,29,75,25,
2024-04-02,47,85,32,92,14,
2024-04-03,49,82,25,80,21,
2024-04-04,50,84,36,80,12,52.2
2024-04-05,50,60,30,57,10,
2024-04-06,47,87,33,85,7,
2024-04-07,52,62,33,39,5,
2024-04-08,48,72,30,67,9,
2024-04-09,52,77,30,69,14,
2024-04-10,49,87,26,82,24,
2024-04-11,50,82,27,82,27,
2024-04-12,48,80,30,84,18,52.4
2024-04-13,50,53,29,75,9,
2024-04-14,44,94,29,92,11,
2024-04-15,47,80,23,62,17,
2024-04-16,43,83,21,98,26,
2024-04-17,42,87,19,100,35,
2024-04-18,42,92,23,100,29,51.799
2024-04-19,43,89,21,100,32,
2024-04-20,44,77,29,95,16,
2024-04-21,48,77,43,67,5,
2024-04-22,48,37,39,19,5,
2024-04-23,46,50,21,83,14,
2024-04-24,43,81,24,95,28,
2024-04-25,43,89,26,97,25,52.0
2024-04-26,44,85,25,100,23,
2024-04-27,49,29,43,39,5,
2024-04-28,49,78,28,58,5,
2024-04-29,50,81,34,66,8,
2024-04-30,46,86,31,81,13,
2024-05-01,49,43,34,57,11,52.3
2024-05-02,44,85,27,88,17,52.4
2024-05-03,51,78,33,60,17,
2024-05-04,51,49,41,51,6,
2024-05-05,52,50,43,37,5,
2024-05-06,48,73,32,41,6,
2024-05-07,47,81,30,83,16,
2024-05-08,47,79,29,81,18,
2024-05-09,47,84,26,92,23,
2024-05-10,47,85,33,90,14,51.4
2024-05-11,49,60,23,53,14,
2024-05-12,46,89,31,99,15,
2024-05-13,50,63,32,52,14,
2024-05-14,47,86,27,92,14,
2024-05-15,47,77,27,77,16,
2024-05-16,46,86,33,89,12,51.799
2024-05-17,50,83,43,63,5,
2024-05-18,51,77,33,37,5,
2024-05-19,48,76,30,69,14,
2024-05-20,48,81,27,69,19,
2024-05-21,47,82,26,91,23,
2024-05-22,49,80,32,80,16,
